袋装速食面,1,3
调味酱,1,6.7
冷藏乳品,1,8.9
冲调食品,1,27.7
洗衣用品,1,4.9
纸制品,1,9.7
蔬菜,0.902,9.96
常温乳品,1,65
打扫用品,1,70
糖果,1,10.9
蔬菜,0.456,2.78
卫生巾,1,8.9
卫生巾,1,11.9
蔬菜,0.24,9.6
袋装速食面组,1,17.3
纸制品,1,24.9
饼干,1,6.9
水果,1.776,4.98
糕点,1,9.7
洗衣用品,1,24.9
蔬菜,0.496,7.8
调味酱,1,3.7
常温乳品,16,2.7
液体调料,1,7.9
洗护发用品,1,9.5
蔬菜,0.708,2.58
蔬菜,0.636,1.8
南北干货,0.132,89.8
水果,1.922,3.18
蔬菜,0.656,2.56
洗护发用品,1,37.9
现制西式糕点,0.384,16
蔬菜,0.988,3.96
婴幼儿用品,1,1.5
袋装速食面组,1,14.7
现制中式面点,2,1
卫生巾,1,4.7
五谷杂粮,1,33.9
五谷杂粮,1.006,4.58
厨房清洁,1,9.9
卤制熟食,0.258,80
卫浴用品,1,15
卫生巾,1,8.7
卫生巾,1,9.9
巧克力,1,8.5
液体调料,1,1.1
巧克力,1,39.8
猪肉,0.356,35
猪肉,0.342,29.8
洗浴用品,1,4.7
洗护发用品,1,46.9
常温乳品,16,2.7
冲调食品,1,22.7
笔类,1,2.3
蔬菜,0.612,2.58
饼干,1,4.5
蔬菜,1,5.8
水果,0.92,15.96
五谷杂粮,1,21.9
南北干货,0.292,19.8
蔬菜,1.146,2.56
水果,0.858,11.98
水果,0.266,15.9
南北干货,0.366,37.8
蔬菜,0.786,1.8
冷藏乳品,1,12.8
糖果,1,4
蔬菜,0.796,6.56
冷藏乳品,1,11.9
现制中式面点,0.53,6
纸制品,1,3
保养用品,1,10.9
加工豆类,0.447,2.96
蔬菜,0.22,3.98
水果,0.641,5.96
盐/糖,1,2.8
袋装速食面,1,0.5
加工豆类,1,1.5
冷冻火锅类,0.544,32.6
炒货,0.27,11.8
蔬菜,0.208,7.96
蔬菜,0.12,5.56
蜜饯,0.928,33.8
冰鲜水产,0.5,30
水果,2.018,2
水果,0.366,7.98
水果,0.278,15.9
卤制熟食,0.178,40
蔬菜,0.706,3.96
学生用品,1,3.3
水果,0.286,10
蔬菜,0.622,2.56
常温乳品,3,2.8
蔬菜,0.064,3.56
袋装速食面,1,0.5
其它加工,0.072,2
蔬菜,0.686,1.98
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
口香糖,1,10.9
口腔卫生用品,1,10.9
乳饮料,1,5.5
水果,0.871,5.96
蔬菜,0.294,2.58
冷藏乳品,1,9.9
常温乳品,1,62
卫生巾,1,4.5
奶粉,1,36.5
电池配件,4,4.5
水果,0.698,17.8
水果,0.752,17.8
煮食面/粉,1,5.9
乳饮料,1,4.9
即食熟制品,1,12.5
水果,1.353,17.6
蛋类,2.214,19.8
卫生巾,1,3.9
蜜饯,1,5.5
蔬菜,0.804,1.8
液体调料,1,1.3
蔬菜,0.224,18
即食熟制品,1,2.7
水果,1.6,15.96
冲调食品,1,30.7
饼干,1,5.7
饼干,1,5.7
蔬菜,0.299,5.98
膨化点心,1,3.9
调味料,1,4.9
南北干货,0.306,37.8
纸制品,1,1.7
炒货,0.344,13.8
饼干,1,8.7
冷藏乳品,1,11.8
即食熟制品,1,10.9
蔬菜,0.444,9
冷藏乳品,1,11.8
饼干,1,6.9
卫生巾,1,7.9
液体调料,1,12.9
蔬菜,0.452,4
调味酱,1,3.9
蔬菜,0.328,2.56
蔬菜,0.614,3.96
蔬菜,4,2
蔬菜,0.83,1.98
蔬菜,0.457,2.58
电池配件,1,13
水果,0.462,9.96
蛋类,0.75,6.78
巧克力,1,5.3
卫生巾,1,9.9
蔬菜,0.47,2.58
南北干货,1,5.7
饼干,1,6.9
水果,1.352,3.18
纸制品,1,24.9
现制中式面点,4,0.5
现制中式面点,4,0.5
运动机能饮料,1,4
蔬菜,1.078,3.16
水果,1.244,4.98
盐/糖,1,9.5
蛋类,0.862,6.78
乳饮料,4,2.2
调味料,1,2.7
南北干货,0.282,89.8
奶粉,1,19.9
奶粉,1,32
凉拌熟食,0.001,20
蔬菜,0.573,6.56
南北干货,0.308,37.8
蔬菜,0.58,5.8
蛋类,1.084,19.8
水果,0.608,15.98
调味酱,1,2
蔬菜,0.91,2.56
蔬菜,0.416,2.56
南北干货,0.534,6.8
调味料,1,3.9
蛋类,1.038,6.78
酱菜类,1,2.7
水果,0.439,10
口香糖,1,10.4
炒货,1,5.9
常温乳品,3,2.8
茶饮料,1,2.5
蔬菜,0.214,9
纯果汁,1,4
水果,1.518,15.96
蜜饯,0.44,35.8
蔬菜,0.626,3.96
水果,0.456,15.9
干货水产,0.768,30
蔬菜,0.872,1.96
蛋类,1.212,8.5
饼干,1,4.9
饼干,1,5.7
卫生巾,1,8.7
饼干,1,6
饼干,0.144,19.8
蔬菜,0.851,2.58
蔬菜,1.028,2.58
学生用品,1,4.7
蔬菜,0.662,1.96
蔬菜,0.706,56
纸制品,1,15.9
纸制品,1,9.7
洗衣用品,1,19.9
纸制品,1,5.9
香烟,1,15
蔬菜,0.456,9.96
加工豆类,0.08,7.76
冷藏乳品,3,8.9
猪肉,0.27,29.8
水果,1.262,17.6
蔬菜,0.206,5.8
液体调料,1,12.9
蔬菜,0.574,2.56
水果,0.998,2
纸制品,1,6.9
卫生巾,1,8.7
调味料,1,2
现制中式面点,0.465,6
冲调食品,1,23.3
水果,1.868,17.8
饼干,1,1.5
洗浴用品,1,4.7
水果,1.842,3.18
蔬菜,0.496,2.58
蔬菜,0.443,2.78
卫生巾,1,8.7
水果,0.504,11.98
蔬菜,0.652,6
冷冻点心,1,6.7
冷冻火锅类,0.398,32.6
五谷杂粮,1.004,9.9
卫生巾,1,7.7
五谷杂粮,1,39.9
蛋类,0.774,19
口香糖,1,9.9
蔬菜,0.598,1.8
冷藏肉制品,1,5.7
蔬菜,1.173,2.56
酱菜类,5,1.7
奶粉,1,19.9
蛋类,2.44,6.78
调味料,1,2.9
蔬菜,2.862,1.96
蔬菜,0.252,12
糕点,1,6.9
袋装速食面,1,2.5
袋装速食面,1,0.5
炒货,0.186,17
浴厕厨清洁剂,1,3.9
蔬菜,0.312,5.56
水果,1.878,9.98
酱菜类,1,8.2
糕点,0.372,15.8
果汁饮料,1,4.5
糕点,0.144,25.8
水果,0.348,9.96
净水,2,2
调味料,1,1.3
糕点,1,5.3
咖啡,1,9.9
啤酒,4,2.5
水果,1.32,14.99
糕点,1,9.9
液体调料,1,1.7
毯子,1,69
蔬菜,0.44,6.56
加工豆类,0.402,2.96
口腔卫生用品,1,14.9
糕点,0.086,31.8
加工豆类,0.082,27.2
黄酒,1,12.9
洗衣用品,1,19.7
蔬菜,0.45,7.6
蜜饯,0.382,25.8
浴厕厨清洁剂,1,9.9
蛋类,1.014,6.78
袋装速食面组,1,22.5
调味料,1,1.3
五谷杂粮,1.004,4.4
即食熟制品,1,11.9
水果,1.236,11.98
水果,1.406,14.99
蔬菜,0.648,9.96
蔬菜,0.39,1.98
纸制品,1,19.9
蔬菜,0.244,12
水果,1.108,11.98
水果,0.536,30
酱菜类,1,0.9
冲饮品,1,3
纸制品,4,1.7
猪肉,0.77,29.8
蔬菜,0.5,6.56
常温肉制品,1,16.3
膨化点心,1,17.9
蔬菜,0.198,6.56
蔬菜,0.556,1.48
凉拌熟食,0.546,20
纸制品,1,8.9
进口酒,1,10.5
桶杯装速食面,1,5.5
冷藏肉制品,1,12.9
口香糖,1,10.9
口香糖,1,16
蔬菜,0.69,9.96
袋装速食面组,1,22.5
冲调食品,1,13.9
膨化点心,1,5.9
蜜饯,1,7.5
加工豆类,0.565,2.96
常温肉制品,1,16.3
饼干,1,6.3
膨化点心,1,5.9
打扫用品,1,8
南北干货,0.28,37.8
口香糖,1,10.4
蔬菜,1.638,5.8
酱菜类,1,0.5
口腔卫生用品,1,9.9
猪肉,0.46,29.8
蔬菜,0.446,18
盐/糖,1,2.3
冷冻点心,1,10.3
糕点,1,11.5
桶杯装速食面,1,3.7
无糖食品,1,28
炒货,1,3
加工豆类,2,1.5
膨化点心,1,3.3
水果,0.598,17.6
调味酱,1,3.7
口香糖,1,9.7
果冻,1,5.9
蔬菜,1,5.5
蔬菜,0.366,5.6
水果,0.93,9.98
蔬菜,1.006,2.56
袋装速食面,1,3.5
保养用品,1,40
液体调料,1,7.9
液体调料,1,6.7
蔬菜,0.693,6.56
加工豆类,0.364,5
冷藏肉制品,1,4.9
即食熟制品,1,1
炒货,1,7.9
水果,0.56,11.98
冷冻火锅类,0.562,32.6
水果,1.512,9
卫生巾,1,8.9
蔬菜,0.28,7.8
饼干,1,5
膨化点心,1,3.3
卫生巾,1,1.5
蔬菜,0.626,2.58
水果,0.53,23
冷藏乳品,1,12.8
水果,1.74,5.96
饼干,0.182,19.8
学生用品,1,1.7
蛋类,0.914,6.78
袋装速食面,1,3
奶粉,1,4.9
凉拌熟食,0.284,20
洗浴用品,1,19.9
盐/糖,1,6.8
炒货,1,8.3
炒货,1,8.9
干货水产,0.168,30
蔬菜,0.21,56
蔬菜,0.646,5.8
液体调料,5,1.3
袋装速食面组,1,12.5
膨化点心,1,3.7
洗衣用品,1,51.9
南北干货,1,22.3
膨化点心,1,8.7
蔬菜,1.472,3.96
桶杯装速食面,1,5.5
蔬菜,0.914,3.16
洗护发用品,1,108
水果,5,20
调味料,1,7.3
碳酸饮料,1,6.9
巧克力,1,7.9
盐/糖,1,2.3
南北干货,1,22.3
凉拌熟食,0.51,20
水果,2.152,15.96
炒货,1,10.5
水果,1.212,11.98
保养用品,1,23.9
蛋类,1,11.9
猪肉,0.28,27.8
南北干货,0.338,37.8
饼干,1,4.9
蔬菜,1.297,1.8
煮食面/粉,1,8.5
酱菜类,1,0.5
蔬菜,0.392,3.96
其它加工,0.118,50
袋装速食面组,1,14.7
进口酒,1,12.9
鸡产品,0.516,17.6
蔬菜,0.424,9.96
盐/糖,1,5.9
南北干货,0.064,99
蜜饯,0.214,29.8
水果,1.184,9.98
五谷杂粮,0.906,15.8
蔬菜,1.566,12
常温乳品,12,5.5
糖果,1,9.5
液体调料,1,6.9
卫生巾,1,5.7
糕点,1,7.5
糕点,1,16.9
膨化点心,1,4.3
蔬菜,0.122,5.56
液体调料,1,4.8
洗浴用品,1,4.9
蔬菜,0.582,56
食用油,1,87.9
鸡产品,0.274,35.8
纸尿裤,1,43
即食熟制品,1,1
啤酒,1,9.8
冷藏乳品,1,17.9
水果,1.656,6.98
冲饮品,1,4.9
膨化点心,1,3.8
水果,0.596,23
冷藏乳品,1,11.9
蔬菜,2.542,1.96
水果,1.19,17.6
糕点,1,4.5
纸制品,1,5.9
蔬菜,0.776,1.76
冷冻火锅类,1,16.3
蔬菜,0.635,6
纸制品,1,6.9
调味料,1,7.3
胶水胶带,1,1.3
水果,1.088,3.18
蔬菜,1,5.8
罐头,1,3.2
蔬菜,0.272,9.96
蛋类,0.982,6.78
蔬菜,-0.001,3.96
蔬菜,0.001,3.96
蔬菜,0.51,9.6
水果,0.716,2
常温乳品,16,2.8
口腔卫生用品,1,8.9
蔬菜,0.601,4
南北干货,0.282,37.8
蔬菜,0.152,3.8
即食熟制品,1,2
纸制品,1,15.9
保鲜用品,1,10
茶饮料,1,2.5
水果,1.821,3.18
罐头,12,3.2
饼干,1,3.5
液体调料,1,7.9
水果,0.515,7.98
猪肉,1.41,41.8
果汁饮料,2,11.3
常温乳品,12,5.3
蔬菜,0.986,5.56
煮食面/粉,1,5.3
即食熟制品,1,17.9
膨化点心,1,7.5
桶杯装速食面,1,3
纸制品,1,7.9
常温乳品,16,2.1
盐/糖,1,2.3
水果,1.13,9.98
洗护发用品,1,42.9
饼干,1,14.9
糕点,1,10.5
蔬菜,0.296,5.56
蛋类,0.818,6.78
纸制品,1,9.9
纸制品,1,24.9
冷冻水饺,1,10.3
奶粉,1,20.9
果汁饮料,1,3.9
猪肉,0.558,27.8
蔬菜,0.81,7.6
糕点,1,14.3
蔬菜,1.025,2.56
蔬菜,0.537,2.58
五谷杂粮,0.546,13.8
饼干,1,3.9
纸制品,1,3.9
纸制品,1,9.7
蔬菜,0.292,7.8
蔬菜,0.296,7.8
蔬菜,1.997,3.96
蔬菜,0.222,5.98
现制西式糕点,0.328,16
饼干,1,4.3
蔬菜,0.704,6.56
茶饮料,1,2.5
蔬菜,0.666,6.56
水果,0.973,23
加工豆类,2,1.5
果汁饮料,1,4.5
袋装速食面组,1,11.3
卫生巾,1,8.9
加工豆类,1,1.5
液体调料,1,1.3
糕点,0.258,19.8
糖果,1,2
即食熟制品,1,3.9
饼干,0.212,19.8
蔬菜,4,2
口香糖,1,10.9
洗衣用品,3,9.9
蔬菜,0.882,16
常温乳品,16,2.8
冲饮品,1,3
糖果,0.128,54
蔬菜,0.298,9
袋装速食面,1,3
蔬菜,0.116,9
学生用品,2,0.5
蔬菜,0.82,1.8
蔬菜,1,30
水果,1.748,17.8
炒货,0.33,13.8
糖果,0.13,71
口腔卫生用品,1,18.9
冷藏乳品,1,6.9
乳饮料,1,4.3
罐头,1,19.9
鸡产品,0.418,19
蔬菜,0.166,5
即食熟制品,0.262,59
冷藏乳品,1,12.9
饼干,1,4.5
蔬菜,1.082,2.56
水果,1.796,3.18
液体调料,1,2.9
糕点,1,4.5
凉拌熟食,0.001,20
冷藏乳品,1,15.9
运动机能饮料,1,6
蔬菜,0.334,3.96
水果,0.618,17.6
常温乳品,12,5.5
水果,0.676,7.98
冷藏乳品,1,11.9
饼干,1,5.7
常温肉制品,1,16.3
蔬菜,0.39,1.98
调味酱,1,15.9
膨化点心,1,4
口香糖,1,10.4
冷冻火锅类,0.534,32.6
南北干货,0.35,37.8
滋补营养品,1,81.9
蜜饯,1,4.2
现制中式面点,8,0.5
蜜饯,1,4.9
蛋类,0.94,6.78
蔬菜,1.038,2.56
食用油,1,87.9
蜜饯,1,3.7
纸制品,1,6.9
进口饮料,1,7.5
果汁饮料,1,4.9
蔬菜,0.352,2.56
膨化点心,1,3.9
蜜饯,1,11.9
饼干,1,4.9
常温肉制品,1,16.3
猪肉,0.42,27.8
蔬菜,0.752,1.6
袋装速食面组,1,17.3
口香糖,1,5.2
调味料,1,7.3
水果,0.892,9.98
液体调料,1,8.9
饼干,1,14.9
果汁饮料,1,5
蔬菜,0.23,5.8
蔬菜,0.14,18
现制中式面点,4,1
袋装速食面,1,2.5
鞋配件,1,8
蔬菜,1,4.98
水果,1.27,11.98
袋装速食面,1,3
五谷杂粮,1,19.9
煮食面/粉,2,6.9
即食熟制品,1,8.9
蔬菜,0.304,5.8
南北干货,0.346,19.8
蔬菜,0.304,6.56
糖果,1,1
冲饮品,1,3
桶杯装速食面,1,3.9
蔬菜,1.184,2.56
蔬菜,0.418,1.98
蛋类,1.756,6.78
水果,2.266,5.96
常温乳品,1,76
蔬菜,0.781,2.58
液体调料,1,5.9
蔬菜,0.182,5.6
蔬菜,0.454,3.8
液体调料,1,5.9
饼干,1,3.7
香烟,1,32
常温乳品,12,5.5
巧克力,0.172,37.8
饼干,1,5.5
冷冻汤圆,1,14.3
乳饮料,1,4.9
洗衣用品,1,10.9
巧克力,1,19.9
炒货,1,8.5
液体调料,1,6.9
卫生巾,1,7.9
蔬菜,0.305,5.6
蔬菜,0.718,2.56
蔬菜,0.176,16.8
现制中式面点,2,1
饼干,1,3.7
果冻,1,3.3
袋装速食面组,1,21.8
炒货,1,8.7
蔬菜,0.22,9.6
碳酸饮料,1,2.8
蔬菜,1.066,2.58
膨化点心,1,3.3
蛋类,0.816,6.78
糖果,0.084,71
纯果汁,1,4.7
加工豆类,1,5.8
笔类,1,3.3
水果,2.216,5.96
膨化点心,1,5.9
巧克力,1,5.3
饼干,1,3.9
猪肉,0.682,27.8
膨化点心,1,3.3
膨化点心,1,4
进口酒,1,10.5
液体调料,1,3.8
水果,0.446,17.6
水果,1.55,11.98
纸制品,1,3
调味料,1,2.7
水果,0.984,9.98
蛋类,0.742,6.78
糖果,1,4.5
鸡产品,0.254,35.8
膨化点心,1,8.3
进口食品,3,19.9
卫生巾,1,9.9
纸制品,1,14.5
饼干,1,3.7
冷藏乳品,1,11.5
即食熟制品,1,2.5
打扫用品,1,4.5
饼干,0.178,19.8
蔬菜,0.674,2.58
现制中式面点,0.41,6
饼干,1,4.7
膨化点心,1,2.7
纸制品,1,14.5
现制中式面点,2,1
蔬菜,0.908,5
调味料,1,8.5
蔬菜,0.198,18
水果,1.074,6.98
调味酱,1,3.7
蔬菜,0.71,5
冷冻水饺,1,10.3
冷冻包子馒头,1,19.3
饼干,1,3.7
纸制品,1,9.7
纸制品,1,14.5
盐/糖,1,9.9
蔬菜,2.962,2.56
碳酸饮料,1,6.9
蔬菜,0.658,2.56
蔬菜,0.786,2.58
酱菜类,1,8.2
纯果汁,1,5.7
膨化点心,1,3.7
洗浴用品,1,1.9
蛋类,0.804,6.78
鸡产品,0.368,17.6
调味酱,1,3.7
猪肉,1.184,25.6
水果,1.696,3.18
饼干,1,4.5
五谷杂粮,1,49.9
酱菜类,1,7.9
膨化点心,1,2.5
液体调料,1,5.9
